Company,Website,Wikipedia
2d3,,https://en.wikipedia.org/wiki/2d3
"280 North, Inc.",,"https://en.wikipedia.org/wiki/280_North,_Inc."
Accordent Technologies,https://web.archive.org/web/20070927161531/http://www.accordent.com/,https://en.wikipedia.org/wiki/Accordent_Technologies
AddToAny,,https://en.wikipedia.org/wiki/AddToAny
Alteryx,http://alteryx.com,https://en.wikipedia.org/wiki/Alteryx
Altos 586,,https://en.wikipedia.org/wiki/Altos_586
Amicima,,https://en.wikipedia.org/wiki/Amicima
Answer Underground,http://www.answerunderground.com,https://en.wikipedia.org/wiki/Answer_Underground
AppFolio,http://appfolio.com,https://en.wikipedia.org/wiki/AppFolio
Appy Entertainment,,https://en.wikipedia.org/wiki/Appy_Entertainment
Arcada Software,,https://en.wikipedia.org/wiki/Arcada_Software
ArcSight,http://www.microfocus.com/arcsight,https://en.wikipedia.org/wiki/ArcSight
Arkeia Software,http://arkeia.com,https://en.wikipedia.org/wiki/Arkeia_Software
Artisan AI,http://artisan.co,https://en.wikipedia.org/wiki/Artisan_AI
Automation Anywhere,https://www.automationanywhere.com/,https://en.wikipedia.org/wiki/Automation_Anywhere
Balsamiq,http://www.balsamiq.com/,https://en.wikipedia.org/wiki/Balsamiq
BatchMaster Software,http://www.batchmaster.com/,https://en.wikipedia.org/wiki/BatchMaster_Software
BIAS,http://www.bias-inc.com,https://en.wikipedia.org/wiki/BIAS
BindView,,https://en.wikipedia.org/wiki/BindView
BIOVIA,https://www.3ds.com/biovia,https://en.wikipedia.org/wiki/BIOVIA
BlackLine Systems,https://www.blackline.com/,https://en.wikipedia.org/wiki/BlackLine_Systems
BLAST (protocol),,https://en.wikipedia.org/wiki/BLAST_(protocol)
"Bluebeam Software, Inc.",http://bluebeam.com,"https://en.wikipedia.org/wiki/Bluebeam_Software,_Inc."
Bomb Factory Studio,,https://en.wikipedia.org/wiki/Bomb_Factory_Studio
TheBrain Technologies,http://thebrain.com,https://en.wikipedia.org/wiki/TheBrain_Technologies
Breakthrough Software,,https://en.wikipedia.org/wiki/Breakthrough_Software
Brightfin,http://brightfin.com/,https://en.wikipedia.org/wiki/Brightfin
Brightmail,https://web.archive.org/web/20120118011058/http://www.symantec.com/de/de/messaging-gateway,https://en.wikipedia.org/wiki/Brightmail
"Britton Lee, Inc.",,"https://en.wikipedia.org/wiki/Britton_Lee,_Inc."
Bunchball,,https://en.wikipedia.org/wiki/Bunchball
ByWater Solutions,http://bywatersolutions.com/,https://en.wikipedia.org/wiki/ByWater_Solutions
C Level Design,http://www.synopsys.com,https://en.wikipedia.org/wiki/C_Level_Design
California Pacific Computer Company,,https://en.wikipedia.org/wiki/California_Pacific_Computer_Company
Canto Software,http://www.canto.com/,https://en.wikipedia.org/wiki/Canto_Software
Cape Clear Software,,https://en.wikipedia.org/wiki/Cape_Clear_Software
CapLinked,https://www.caplinked.com/,https://en.wikipedia.org/wiki/CapLinked
CARad.com,,https://en.wikipedia.org/wiki/CARad.com
Carta (software company),https://carta.com,https://en.wikipedia.org/wiki/Carta_(software_company)
Causata,http://www.causata.com,https://en.wikipedia.org/wiki/Causata
Centric Software,https://www.centricsoftware.com/,https://en.wikipedia.org/wiki/Centric_Software
Citrix Online,http://www.citrixonline.com,https://en.wikipedia.org/wiki/Citrix_Online
Claria Corporation,,https://en.wikipedia.org/wiki/Claria_Corporation
Clarizen,http://clarizen.com,https://en.wikipedia.org/wiki/Clarizen
ClearSlide,,https://en.wikipedia.org/wiki/ClearSlide
Clickability,http://www.clickability.com,https://en.wikipedia.org/wiki/Clickability
Clixtr,,https://en.wikipedia.org/wiki/Clixtr
Cloudian,http://cloudian.com,https://en.wikipedia.org/wiki/Cloudian
Cloudinary,http://cloudinary.com,https://en.wikipedia.org/wiki/Cloudinary
Clover Network,http://www.clover.com,https://en.wikipedia.org/wiki/Clover_Network
Condusiv Technologies,http://www.condusiv.com,https://en.wikipedia.org/wiki/Condusiv_Technologies
Connectbeam,http://connectbeam.com/,https://en.wikipedia.org/wiki/Connectbeam
Cooliris,http://www.cooliris.com,https://en.wikipedia.org/wiki/Cooliris
Cornerstone OnDemand,https://cornerstoneondemand.com,https://en.wikipedia.org/wiki/Cornerstone_OnDemand
Corona Labs Inc.,https://coronalabs.com/,https://en.wikipedia.org/wiki/Corona_Labs_Inc.
Cosmi Corporation,,https://en.wikipedia.org/wiki/Cosmi_Corporation
Coverity,http://synopsys.com/software-integrity.html,https://en.wikipedia.org/wiki/Coverity
Cribl.io,https://cribl.io/,https://en.wikipedia.org/wiki/Cribl.io
Daily Journal Corporation,http://dailyjournal.com/subscribe,https://en.wikipedia.org/wiki/Daily_Journal_Corporation
Daintree Networks,http://www.daintree.net/,https://en.wikipedia.org/wiki/Daintree_Networks
Data Domain Corporation,https://www.delltechnologies.com/en-us/data-protection/data-domain-series/data-domain-dd6300-data-backup-appliance.htm#,https://en.wikipedia.org/wiki/Data_Domain_Corporation
